playerID,yearid,votedBy,ballots,needed,votes,inducted,category,needed_note
aaronha01,1982,BBWAA,415.0,312.0,406.0,Y,Player,
alexape01,1938,BBWAA,262.0,197.0,212.0,Y,Player,
allendi01,2025,Classic Baseball Era,16.0,12.0,13.0,Y,Player,
alomaro01,2011,BBWAA,581.0,436.0,523.0,Y,Player,
ansonca01,1939,Old Timers,,,,Y,Player,
aparilu01,1984,BBWAA,403.0,303.0,341.0,Y,Player,
applilu01,1964,Run Off,201.0,,189.0,Y,Player,Player receiving most votes inducted
ashburi01,1995,Veterans,,,,Y,Player,
averiea01,1975,Veterans,,,,Y,Player,
bagweje01,2017,BBWAA,442.0,332.0,381.0,Y,Player,
baineha01,2019,Veterans - Today's Game Era,16.0,12.0,12.0,Y,Player,
bakerfr01,1955,Veterans,,,,Y,Player,
bancrda01,1971,Veterans,,,,Y,Player,
bankser01,1977,BBWAA,383.0,288.0,321.0,Y,Player,
becklja01,1971,Veterans,,,,Y,Player,
bellco99,1974,Negro League,,,,Y,Player,
beltrad01,2024,BBWAA,385.0,289.0,366.0,Y,Player,
benchjo01,1989,BBWAA,447.0,336.0,431.0,Y,Player,
bendech01,1953,Veterans,,,,Y,Player,
berrayo01,1972,BBWAA,396.0,297.0,339.0,Y,Player,
biggicr01,2015,BBWAA,549.0,412.0,454.0,Y,Player,
blylebe01,2011,BBWAA,581.0,436.0,463.0,Y,Player,
boggswa01,2005,BBWAA,516.0,387.0,474.0,Y,Player,
bottoji01,1974,Veterans,,,,Y,Player,
boudrlo01,1970,BBWAA,300.0,225.0,232.0,Y,Player,
bresnro01,1945,Old Timers,,,,Y,Player,
brettge01,1999,BBWAA,497.0,373.0,488.0,Y,Player,
brocklo01,1985,BBWAA,395.0,297.0,315.0,Y,Player,
broutda01,1945,Old Timers,,,,Y,Player,
brownmo01,1949,Old Timers,,,,Y,Player,
brownra99,2006,Negro League,,,,Y,Player,
brownwi02,2006,Negro League,,,,Y,Player,
bunniji01,1996,Veterans,14.0,11.0,,Y,Player,
burkeje01,1946,Old Timers,,,,Y,Player,
camparo01,1969,BBWAA,340.0,255.0,270.0,Y,Player,
carewro01,1991,BBWAA,443.0,333.0,401.0,Y,Player,
careyma01,1961,Veterans,,,,Y,Player,
carltst01,1994,BBWAA,456.0,342.0,436.0,Y,Player,
cartega01,2003,BBWAA,496.0,372.0,387.0,Y,Player,
cepedor01,1999,Veterans,,,,Y,Player,
chancfr01,1946,Old Timers,,,,Y,Player,
charlos99,1976,Negro League,,,,Y,Player,
chesbja01,1946,Old Timers,,,,Y,Player,
clarkfr01,1945,Old Timers,,,,Y,Player,
clarkjo01,1963,Veterans,,,,Y,Player,Group A - Holdover from 1962 ballot - two could be elected from Group A
clemero01,1973,Special Election,,,,Y,Player,
cobbty01,1936,BBWAA,226.0,170.0,222.0,Y,Player,
cochrmi01,1947,BBWAA,161.0,121.0,128.0,Y,Player,
collied01,1939,BBWAA,274.0,206.0,213.0,Y,Player,
colliji01,1945,Old Timers,,,,Y,Player,
combsea01,1970,Veterans,,,,Y,Player,
connoro01,1976,Veterans,,,,Y,Player,
coopean99,2006,Negro League,,,,Y,Player,
covelst01,1969,Veterans,,,,Y,Player,
crawfsa01,1957,Veterans,,,,Y,Player,
cronijo01,1956,BBWAA,193.0,145.0,152.0,Y,Player,
cuyleki01,1968,Veterans,,,,Y,Player,
dandrra99,1987,Veterans,,,,Y,Player,
davisge01,1998,Veterans,,,,Y,Player,
dawsoan01,2010,BBWAA,539.0,405.0,420.0,Y,Player,
dayle99,1995,Veterans,,,,Y,Player,
deandi01,1953,BBWAA,264.0,198.0,209.0,Y,Player,
delahed01,1945,Old Timers,,,,Y,Player,
dickebi01,1954,BBWAA,252.0,189.0,202.0,Y,Player,
dihigma99,1977,Negro League,,,,Y,Player,
dimagjo01,1955,BBWAA,251.0,189.0,223.0,Y,Player,
dobyla01,1998,Veterans,,,,Y,Player,
doerrbo01,1986,Veterans,,,,Y,Player,
drysddo01,1984,BBWAA,403.0,303.0,316.0,Y,Player,
duffyhu01,1945,Old Timers,,,,Y,Player,
eckerde01,2004,BBWAA,506.0,380.0,421.0,Y,Player,
eversjo01,1946,Old Timers,,,,Y,Player,
ewingbu01,1939,Old Timers,,,,Y,Player,
faberre01,1964,Veterans,,,,Y,Player,
fellebo01,1962,BBWAA,160.0,120.0,150.0,Y,Player,
ferreri01,1984,Veterans,,,,Y,Player,
fingero01,1992,BBWAA,430.0,323.0,349.0,Y,Player,
fiskca01,2000,BBWAA,499.0,375.0,397.0,Y,Player,
flickel01,1963,Veterans,,,,Y,Player,Group A - Holdover from 1962 ballot - two could be elected from Group A
fordwh01,1974,BBWAA,365.0,274.0,284.0,Y,Player,
fostebi99,1996,Veterans,14.0,11.0,,Y,Player,
foxne01,1997,Veterans,,,,Y,Player,
foxxji01,1951,BBWAA,226.0,170.0,179.0,Y,Player,
friscfr01,1947,BBWAA,161.0,121.0,136.0,Y,Player,
galvipu01,1965,Veterans,,,,Y,Player,
gehrich01,1949,Run Off,187.0,,159.0,Y,Player,1st
gehrilo01,1939,Special Election,,,,Y,Player,
gibsobo01,1981,BBWAA,401.0,301.0,337.0,Y,Player,
gibsojo99,1972,Negro League,,,,Y,Player,
glavito02,2014,BBWAA,571.0,429.0,525.0,Y,Player,
gomezle01,1972,Veterans,,,,Y,Player,
gordojo01,2009,Veterans - Pre-1943,12.0,9.0,10.0,Y,Player,
gosligo01,1968,Veterans,,,,Y,Player,
gossari01,2008,BBWAA,543.0,408.0,466.0,Y,Player,
grantfr99,2006,Negro League,,,,Y,Player,
greenha01,1956,BBWAA,193.0,145.0,164.0,Y,Player,
griffcl01,1946,Old Timers,,,,Y,Player,
